"fecha","nombre","cdma","gsma","umts","hspa+","lte"
"2018-04","conecel",0,790043,3136564,2293224,1796874
"2018-05","conecel",0,900213,3100864,2211990,1823783
"2018-06","conecel",0,1044167,2967715,2164715,1891129
"2018-07","conecel",0,1089208,2911676,2120850,1986530
"2018-08","conecel",0,1119296,2851644,2110552,2047146
"2018-09","conecel",0,1197432,2792736,2121657,2048647
"2018-10","conecel",0,1077847,2795990,2074026,2237970
"2018-11","conecel",0,1072153,2777632,2049239,2312330
"2018-12","conecel",0,1039373,2706058,2049418,2453201
"2019-01","conecel",0,1000866,2688262,2056835,2516164
"2019-02","conecel",0,921276,2761252,2040542,2554917
"2019-03","conecel",0,1004751,2588727,2011406,2703613
"2019-04","conecel",0,1023990,2547319,1966707,2785659
"2019-05","conecel",0,1036947,2542742,1954674,2808627
"2019-06","conecel",0,1273105,2297614,1939201,2845707
"2019-07","conecel",0,1288839,2190402,1913446,2978434
"2019-08","conecel",0,1378766,2096846,1923688,2992729
"2019-09","conecel",0,1442084,2024572,1904420,3050822
"2019-10","conecel",0,1463023,1999145,1941589,3005588
"2019-11","conecel",0,1453004,2008824,1942559,3036292
"2019-12","conecel",0,1452334,1970422,1937931,3132367
"2020-01","conecel",0,1459613,1969054,1940173,3156102
"2020-02","conecel",0,1462078,1980238,1944552,3160568
"2020-03","conecel",0,1463245,1917544,1923263,3161040
"2020-04","conecel",0,1410378,1890436,1834080,3022990
"2020-05","conecel",0,1360597,1835391,1826578,2965233
"2020-06","conecel",0,1343983,1840529,1715037,2978022
"2020-07","conecel",0,1131825,1809662,1655750,3120834
"2020-08","conecel",0,1137328,1873506,1633388,3162366
"2020-09","conecel",0,1135521,1884095,1604661,3197600
"2020-10","conecel",0,1129801,1912851,1573379,3194210
"2020-11","conecel",0,1132158,1954284,1539405,3210249
"2020-12","conecel",0,1158751,2009264,1548440,3212798
"2021-01","conecel",0,1162024,2031223,1552277,3219750
"2021-02","conecel",0,1169065,2048617,1559907,3235305
"2021-03","conecel",0,1181823,2091574,1572077,3258399
"2021-04","conecel",0,1194833,2117779,1576757,3274515
"2021-05","conecel",0,1204467,2156961,1584433,3281752
"2021-06","conecel",0,1213946,2200564,1593003,3300402
"2021-07","conecel",0,1219825,2234066,1615833,3313880
"2021-08","conecel",0,1228903,2260790,1634392,3335574
"2021-09","conecel",0,1239168,2293461,1650409,3363630
"2009-01","otecel",520002,2653202,0,0,0
"2009-02","otecel",505813,2670689,0,0,0
"2009-03","otecel",497862,2759837,0,0,0
"2009-04","otecel",483139,2779563,0,0,0
"2009-05","otecel",473401,2834228,0,0,0
"2009-06","otecel",455938,2874018,0,0,0
"2009-07","otecel",440911,2944822,0,0,0
"2009-08","otecel",426996,3039217,0,0,0
"2009-09","otecel",413505,3119180,0,0,0
"2009-10","otecel",397954,3196942,0,0,0
"2009-11","otecel",385729,3260265,0,0,0
"2009-12","otecel",370711,3435721,0,0,0
"2010-01","otecel",366081,3490808,11678,0,0
"2010-02","otecel",353858,3537657,12875,0,0
"2010-03","otecel",338784,3582186,14637,0,0
"2010-04","otecel",325985,3643422,14638,0,0
"2010-05","otecel",314164,3710073,14925,0,0
"2010-06","otecel",303058,3748376,18541,0,0
"2010-07","otecel",293734,3772471,17326,0,0
"2010-08","otecel",283611,3807181,17859,0,0
"2010-09","otecel",274313,3862072,18388,0,0
"2010-10","otecel",264185,3911189,19206,0,0
"2010-11","otecel",253753,3948242,19598,0,0
"2010-12","otecel",232396,4061909,20294,0,0
"2011-01","otecel",211616,4128875,55507,0,0
"2011-02","otecel",191478,4200921,65557,0,0
"2011-03","otecel",161851,4225950,81130,0,0
"2011-04","otecel",146962,4206992,83000,0,0
"2011-05","otecel",131742,4267217,77125,0,0
"2011-06","otecel",114020,4325717,74229,0,0
"2011-07","otecel",106632,4301273,89044,0,0
"2011-08","otecel",92587,4345598,83573,0,0
"2011-09","otecel",68522,4340581,92369,0,0
"2011-10","otecel",47871,4342342,95158,0,0
"2011-11","otecel",33775,4338159,100347,0,0
"2011-12","otecel",0,4403305,110569,0,0
"2012-01","otecel",0,4440536,117860,0,0
"2012-02","otecel",0,4492653,124207,0,0
"2012-03","otecel",0,4535724,132497,0,0
"2012-04","otecel",0,4547743,137775,0,0
"2012-05","otecel",0,4592169,140131,5977,0
"2012-06","otecel",0,4596233,147416,6763,0
"2012-07","otecel",0,4571621,152101,7541,0
"2012-08","otecel",0,4572675,156746,8459,0
"2012-09","otecel",0,4585425,156953,13187,0
"2012-10","otecel",0,4733302,162055,15220,0
"2012-11","otecel",0,4774536,165964,17950,0
"2012-12","otecel",0,4823675,174375,21636,0
"2013-01","otecel",0,4826362,182503,24779,0
"2013-02","otecel",0,4833804,189584,27811,0
"2013-03","otecel",0,4792575,200111,40611,0
"2013-04","otecel",0,4791133,208921,43592,0
"2013-05","otecel",0,4793971,218576,46650,0
"2013-06","otecel",0,4812366,218576,47308,0
"2013-07","otecel",0,4802340,238366,51332,0
"2013-08","otecel",0,4799113,245992,53158,0
"2013-09","otecel",0,4788476,251467,56123,0
"2013-10","otecel",0,4779229,257128,62345,0
"2013-11","otecel",0,4756247,263986,70259,0
"2013-12","otecel",0,4797632,272871,77805,0
"2014-01","otecel",0,4818105,347797,80817,0
"2014-02","otecel",0,4808957,351461,83163,0
"2014-03","otecel",0,4781171,359490,84233,0
"2014-04","otecel",0,4766106,360582,86191,0
"2014-05","otecel",0,4742622,358884,87015,0
"2014-06","otecel",0,4758766,355935,90246,0
"2014-07","otecel",0,4710161,352658,93713,0
"2014-08","otecel",0,4700908,350378,97462,0
"2014-09","otecel",0,4597240,348699,101324,0
"2014-10","otecel",0,4574077,344972,106918,0
"2014-11","otecel",0,4540113,342781,113043,0
"2014-12","otecel",0,4589205,341647,124793,0
"2015-01","otecel",0,4571476,337990,132078,0
"2015-02","otecel",0,4564274,335472,138890,0
"2015-03","otecel",0,4244051,325738,153596,0
"2015-04","otecel",0,4202478,318105,168402,0
"2015-05","otecel",0,4077090,309061,146570,36551
